"Relative","Count","SrcBytes","DstBytes","ExitCode"
"BLDA\CharFace\CFID_6\CharID_175-270","254","5049746","196878","0"
"BLDA\CharFace\CFID_6\CharID_176","97","3405886","92514","0"
"BLDA\CharFace\CFID_6\CharID_176-253","240","4742872","165948","0"
"BLDA\CharFace\CFID_6\CharID_178-160","119","3625156","115299","0"
"BLDA\CharFace\CFID_6\CharID_179-161","93","2605464","75650","0"
"BLDA\CharFace\CFID_6\CharID_181-174","92","3008950","64007","0"
"BLDA\CharFace\CFID_6\CharID_184-181","93","3523922","82580","0"
"BLDA\CharFace\CFID_6\CharID_187-233","64","1998326","55302","0"
"BLDA\CharFace\CFID_6\CharID_188","58","2350304","63050","0"
"BLDA\CharFace\CFID_6\CharID_190","107","4303324","116225","0"
"BLDA\CharFace\CFID_6\CharID_191","102","2795522","80271","0"
"BLDA\CharFace\CFID_6\CharID_192-199","75","2511640","79531","0"
"BLDA\CharFace\CFID_6\CharID_2","96","2744142","110701","0"
"BLDA\CharFace\CFID_6\CharID_20-265","680","10546666","566271","0"
"BLDA\CharFace\CFID_6\CharID_202-176","148","2566998","112102","0"
"BLDA\CharFace\CFID_6\CharID_202-212","263","5108786","270902","0"
"BLDA\CharFace\CFID_6\CharID_212","36","794144","38123","0"
"BLDA\CharFace\CFID_6\CharID_213","56","1758118","52040","0"
"BLDA\CharFace\CFID_6\CharID_215-175","48","1539430","44967","0"
"BLDA\CharFace\CFID_6\CharID_216","36","535554","44240","0"
"BLDA\CharFace\CFID_6\CharID_216-148","127","3772316","105890","0"
"BLDA\CharFace\CFID_6\CharID_224-154","106","3112208","81714","0"
"BLDA\CharFace\CFID_6\CharID_225-191","192","5979710","156873","0"
"BLDA\CharFace\CFID_6\CharID_226-228","241","7024812","214798","0"
"BLDA\CharFace\CFID_6\CharID_226-230","233","5790462","154255","0"
"BLDA\CharFace\CFID_6\CharID_226-261","449","12648990","266289","0"
"BLDA\CharFace\CFID_6\CharID_226-263","468","9178250","352873","0"
"BLDA\CharFace\CFID_6\CharID_227","149","3957504","126992","0"
"BLDA\CharFace\CFID_6\CharID_229-241","240","6248762","125390","0"
"BLDA\CharFace\CFID_6\CharID_230","125","3384158","92968","0"
"BLDA\CharFace\CFID_6\CharID_230-193","192","6009286","161538","0"
"BLDA\CharFace\CFID_6\CharID_233-149","123","3220016","76504","0"
"BLDA\CharFace\CFID_6\CharID_234-141","103","2274294","93938","0"
"BLDA\CharFace\CFID_6\CharID_235","142","4461836","121559","0"
"BLDA\CharFace\CFID_6\CharID_235_0","137","3436180","128480","0"
"BLDA\CharFace\CFID_6\CharID_235-254","297","3953836","268177","0"
"BLDA\CharFace\CFID_6\CharID_237","84","2282166","81560","0"
"BLDA\CharFace\CFID_6\CharID_241-271","686","9639190","435805","0"
"BLDA\CharFace\CFID_6\CharID_244","155","2481954","67970","0"
"BLDA\CharFace\CFID_6\CharID_245-266","444","8568290","311708","0"
"BLDA\CharFace\CFID_6\CharID_25-267","620","9636882","357200","0"
"BLDA\CharFace\CFID_6\CharID_250-227","40","1077896","73857","0"
"BLDA\CharFace\CFID_6\CharID_252-232","720","10606214","440985","0"
"BLDA\CharFace\CFID_6\CharID_26-269","431","4383670","229138","0"
"BLDA\CharFace\CFID_6\CharID_261-268","360","5130252","237322","0"
"BLDA\CharFace\CFID_6\CharID_27-270","440","5859450","329965","0"
"BLDA\CharFace\CFID_6\CharID_29-272","453","8342914","286600","0"
"BLDA\CharFace\CFID_6\CharID_3","144","3350416","112160","0"
"BLDA\CharFace\CFID_6\CharID_3_0","159","4539698","180519","0"
"BLDA\CharFace\CFID_6\CharID_30-272","46","474124","76022","0"
"BLDA\CharFace\CFID_6\CharID_33-217","145","3913200","116198","0"
"BLDA\CharFace\CFID_6\CharID_4","136","5070074","139461","0"
"BLDA\CharFace\CFID_6\CharID_5","95","2241234","87329","0"
"BLDA\CharFace\CFID_6\CharID_6","156","5160488","115639","0"
"BLDA\CharFace\CFID_6\CharID_68-251","224","3134086","142189","0"
"BLDA\CharFace\CFID_6\CharID_69-151","244","6122276","153701","0"
"BLDA\CharFace\CFID_6\CharID_7","130","3864902","125592","0"
"BLDA\CharFace\CFID_6\CharID_76","387","10493664","264951","0"
"BLDA\CharFace\CFID_6\CharID_8","104","3505980","112088","0"
"BLDA\CharFace\CFID_6\CharID_82-143","172","5444240","209534","0"
"BLDA\CharFace\CFID_6\CharID_83-182","103","2939262","82974","0"
"BLDA\CharFace\CFID_6\CharID_84-166","90","3416068","76614","0"
"BLDA\CharFace\CFID_6\CharID_84-170","113","2965880","86139","0"
"BLDA\CharFace\CFID_6\CharID_87","73","2866560","68512","0"
"BLDA\CharFace\CFID_6\CharID_88","88","3157944","89261","0"
"BLDA\CharFace\CFID_6\CharID_89-273","234","7209992","133450","0"
"BLDA\CharFace\CFID_6\CharID_9","28","660466","35579","0"
"BLDA\CharFace\CFID_6\CharID_92","74","1557578","42947","0"
"BLDA\CharFace\CFID_6\CharID_93-153","116","2873074","84616","0"
"BLDA\CharFace\CFID_6\CharID_93-234","305","7367826","215370","0"
"BLDA\CharFace\CFID_6\CharID_94-152","105","3535698","96010","0"
"BLDA\CharFace\CFID_6\CharID_94-158","91","2272116","64021","0"
"BLDA\CharFace\CFID_6\CharID_94-235","287","8080260","228505","0"
"BLDA\CharFace\CFID_6\CharID_94-259","416","7324400","379734","0"
"BLDA\CharFace\CFID_6\CharID_95","99","3355846","115168","0"
"BLDA\CharFace\CFID_6\CharID_95-163","142","3693136","164134","0"
"BLDA\CharFace\CFID_6\CharID_95-236","277","8668956","241230","0"
"BLDA\CharFace\CFID_6\CharID_96","79","2834532","84849","0"
"BLDA\CharFace\CFID_6\CharID_96-164","88","2654812","67161","0"
"BLDA\CharFace\CFID_6\CharID_96-237","288","10890604","234583","0"
"BLDA\CharFace\CFID_6\CharID_97","70","2925112","75085","0"
"BLDA\CharFace\CFID_6\CharID_97-159","66","2222068","55340","0"
"BLDA\CharFace\CFID_6\CharID_97-238","278","10001548","234634","0"
"BLDA\CharFace\CFID_6\CharID_98","65","2088798","54376","0"
"BLDA\CharFace\CFID_6\CharID_99","321","8214268","389619","0"
"BLDA\CharFace\CFID_6\CharID_99-229","443","8830484","275544","0"
"BLDA\CharFace\CFID_6\CharID_99-244","297","7755128","155192","0"
"BLDA\CharFace\CFID_6\CharID_99-268","478","13915984","293427","0"
"BLDA\CharFace\CFID_7\CharID_151","25","453404","38843","0"
"BLDA\CharFace\CFID_7\CharID_5","55","766768","83142","0"
"BLDA\CharFace\CFID_8\CharID_115-165","125","3290726","86018","0"
"BLDA\CharFace\CFID_9\CharID_84-171","58","1829082","63596","0"
"BLDA\CharFace\CH0058","14","522114","32077","0"
"BLDA\CharFace\CH0060","14","532076","37235","0"
"BLDA\CharFace\CH0063","14","369204","32547","0"
"BLDA\CharFace\CH0064","13","405966","30367","0"
"BLDA\CharFace\CH0066","33","990496","51050","0"
"BLDA\CharFace\CH0069","33","1056476","56514","0"
"BLDA\CharFace\CH0070","13","313490","20692","0"
"BLDA\CharFace\CH0071","24","666724","40550","0"
"BLDA\CharFace\CH0079","18","458102","33720","0"
"BLDA\CharFace\CH0080","15","493200","34586","0"
"BLDA\CharFace\CH0082","10","285672","25644","0"
"BLDA\CharFace\CH0086","11","322316","27643","0"
"BLDA\CharFace\CH0087","16","516606","36500","0"
"BLDA\CharFace\CH0088","11","455368","43122","0"
"BLDA\CharFace\CH0089","19","517478","35075","0"
"BLDA\CharFace\CH0092","26","710992","45071","0"
"BLDA\CharFace\CH0095","11","283472","24522","0"
"BLDA\CharFace\CH0098","12","407424","25833","0"
"BLDA\CharFace\CH0099","10","391828","26386","0"
"BLDA\CharFace\CH0100","11","377362","26813","0"
