"Relative","Count","SrcBytes"
"BLDA\CharFace\CFID_6\CharID_192-199","75","2511640"
"BLDA\CharFace\CFID_6\CharID_2","96","2744142"
"BLDA\CharFace\CFID_6\CharID_20-265","680","10546666"
"BLDA\CharFace\CFID_6\CharID_202-176","148","2566998"
"BLDA\CharFace\CFID_6\CharID_202-212","263","5108786"
"BLDA\CharFace\CFID_6\CharID_212","36","794144"
"BLDA\CharFace\CFID_6\CharID_213","56","1758118"
"BLDA\CharFace\CFID_6\CharID_215-175","48","1539430"
"BLDA\CharFace\CFID_6\CharID_216","36","535554"
"BLDA\CharFace\CFID_6\CharID_216-148","127","3772316"
"BLDA\CharFace\CFID_6\CharID_224-154","106","3112208"
"BLDA\CharFace\CFID_6\CharID_225-191","192","5979710"
"BLDA\CharFace\CFID_6\CharID_226-228","241","7024812"
"BLDA\CharFace\CFID_6\CharID_226-230","233","5790462"
"BLDA\CharFace\CFID_6\CharID_226-261","449","12648990"
"BLDA\CharFace\CFID_6\CharID_226-263","468","9178250"
"BLDA\CharFace\CFID_6\CharID_227","149","3957504"
"BLDA\CharFace\CFID_6\CharID_229-241","240","6248762"
"BLDA\CharFace\CFID_6\CharID_230","125","3384158"
"BLDA\CharFace\CFID_6\CharID_230-193","192","6009286"
"BLDA\CharFace\CFID_6\CharID_233-149","123","3220016"
"BLDA\CharFace\CFID_6\CharID_234-141","103","2274294"
"BLDA\CharFace\CFID_6\CharID_235","142","4461836"
"BLDA\CharFace\CFID_6\CharID_235_0","137","3436180"
"BLDA\CharFace\CFID_6\CharID_235-254","297","3953836"
"BLDA\CharFace\CFID_6\CharID_237","84","2282166"
"BLDA\CharFace\CFID_6\CharID_241-271","686","9639190"
"BLDA\CharFace\CFID_6\CharID_244","155","2481954"
"BLDA\CharFace\CFID_6\CharID_245-266","444","8568290"
"BLDA\CharFace\CFID_6\CharID_25-267","620","9636882"
"BLDA\CharFace\CFID_6\CharID_250-227","40","1077896"
"BLDA\CharFace\CFID_6\CharID_252-232","720","10606214"
"BLDA\CharFace\CFID_6\CharID_26-269","431","4383670"
"BLDA\CharFace\CFID_6\CharID_261-268","360","5130252"
"BLDA\CharFace\CFID_6\CharID_27-270","440","5859450"
"BLDA\CharFace\CFID_6\CharID_29-272","453","8342914"
"BLDA\CharFace\CFID_6\CharID_3","144","3350416"
"BLDA\CharFace\CFID_6\CharID_3_0","159","4539698"
"BLDA\CharFace\CFID_6\CharID_30-272","46","474124"
"BLDA\CharFace\CFID_6\CharID_33-217","145","3913200"
"BLDA\CharFace\CFID_6\CharID_4","136","5070074"
"BLDA\CharFace\CFID_6\CharID_5","95","2241234"
