"Relative","Count","SrcBytes","DstBytes","ExitCode"
"GameData\BLDA\CharFace\CFID_6\CharID_230-193","192","6009286","145292","0"
"GameData\BLDA\CharFace\CFID_6\CharID_233-149","123","3220016","54231","0"
"GameData\BLDA\CharFace\CFID_6\CharID_234-141","103","2274294","75736","0"
"GameData\BLDA\CharFace\CFID_6\CharID_235","142","4461836","114834","0"
"GameData\BLDA\CharFace\CFID_6\CharID_235_0","137","3436180","118396","0"
"GameData\BLDA\CharFace\CFID_6\CharID_235-254","297","3953836","123157","0"
"GameData\BLDA\CharFace\CFID_6\CharID_237","84","2282166","62189","0"
"GameData\BLDA\CharFace\CFID_6\CharID_241-271","686","9639190","240970","0"
"GameData\BLDA\CharFace\CFID_6\CharID_244","155","2481954","66217","0"
"GameData\BLDA\CharFace\CFID_6\CharID_245-266","444","8568290","188147","0"
"GameData\BLDA\CharFace\CFID_6\CharID_25-267","620","9636882","186029","0"
"GameData\BLDA\CharFace\CFID_6\CharID_250-227","40","1077896","87274","0"
"GameData\BLDA\CharFace\CFID_6\CharID_252-232","720","10606214","877323","0"
"GameData\BLDA\CharFace\CFID_6\CharID_26-269","431","4383670","117022","0"
"GameData\BLDA\CharFace\CFID_6\CharID_261-268","360","5130252","105606","0"
"GameData\BLDA\CharFace\CFID_6\CharID_27-270","440","5859450","165224","0"
"GameData\BLDA\CharFace\CFID_6\CharID_29-272","453","8342914","161919","0"
"GameData\BLDA\CharFace\CFID_6\CharID_3","144","3350416","92928","0"
"GameData\BLDA\CharFace\CFID_6\CharID_3_0","159","4539698","160169","0"
"GameData\BLDA\CharFace\CFID_6\CharID_30-272","46","474124","66290","0"
"GameData\BLDA\CharFace\CFID_6\CharID_33-217","145","3913200","107090","0"
"GameData\BLDA\CharFace\CFID_6\CharID_4","136","5070074","154906","0"
"GameData\BLDA\CharFace\CFID_6\CharID_5","95","2241234","71185","0"
"GameData\BLDA\CharFace\CFID_6\CharID_6","156","5160488","118975","0"
"GameData\BLDA\CharFace\CFID_6\CharID_68-251","224","3134086","83804","0"
"GameData\BLDA\CharFace\CFID_6\CharID_69-151","244","6122276","126816","0"
"GameData\BLDA\CharFace\CFID_6\CharID_7","130","3864902","134590","0"
"GameData\BLDA\CharFace\CFID_6\CharID_76","387","10493664","217787","0"
"GameData\BLDA\CharFace\CFID_6\CharID_8","104","3505980","104475","0"
"GameData\BLDA\CharFace\CFID_6\CharID_82-143","172","5444240","191836","0"
"GameData\BLDA\CharFace\CFID_6\CharID_83-182","103","2939262","60505","0"
"GameData\BLDA\CharFace\CFID_6\CharID_84-166","90","3416068","66742","0"
"GameData\BLDA\CharFace\CFID_6\CharID_84-170","113","2965880","67012","0"
"GameData\BLDA\CharFace\CFID_6\CharID_87","73","2866560","71031","0"
"GameData\BLDA\CharFace\CFID_6\CharID_88","88","3157944","81397","0"
"GameData\BLDA\CharFace\CFID_6\CharID_89-273","234","7209992","101133","0"
"GameData\BLDA\CharFace\CFID_6\CharID_9","28","660466","45745","0"
"GameData\BLDA\CharFace\CFID_6\CharID_92","74","1557578","33543","0"
"GameData\BLDA\CharFace\CFID_6\CharID_93-153","116","2873074","54328","0"
"GameData\BLDA\CharFace\CFID_6\CharID_93-234","305","7367826","144221","0"
"GameData\BLDA\CharFace\CFID_6\CharID_94-152","105","3535698","73362","0"
"GameData\BLDA\CharFace\CFID_6\CharID_94-158","91","2272116","47502","0"
"GameData\BLDA\CharFace\CFID_6\CharID_94-235","287","8080260","173361","0"
"GameData\BLDA\CharFace\CFID_6\CharID_94-259","416","7324400","186435","0"
"GameData\BLDA\CharFace\CFID_6\CharID_95","99","3355846","112560","0"
"GameData\BLDA\CharFace\CFID_6\CharID_95-163","142","3693136","139282","0"
"GameData\BLDA\CharFace\CFID_6\CharID_95-236","277","8668956","180098","0"
"GameData\BLDA\CharFace\CFID_6\CharID_96","79","2834532","76430","0"
"GameData\BLDA\CharFace\CFID_6\CharID_96-164","88","2654812","56169","0"
"GameData\BLDA\CharFace\CFID_6\CharID_96-237","288","10890604","190330","0"
"GameData\BLDA\CharFace\CFID_6\CharID_97","70","2925112","73934","0"
"GameData\BLDA\CharFace\CFID_6\CharID_97-159","66","2222068","56872","0"
"GameData\BLDA\CharFace\CFID_6\CharID_97-238","278","10001548","184801","0"
"GameData\BLDA\CharFace\CFID_6\CharID_98","65","2088798","56406","0"
"GameData\BLDA\CharFace\CFID_6\CharID_99","321","8214268","274948","0"
"GameData\BLDA\CharFace\CFID_6\CharID_99-229","443","8830484","178830","0"
"GameData\BLDA\CharFace\CFID_6\CharID_99-244","297","7755128","125326","0"
"GameData\BLDA\CharFace\CFID_6\CharID_99-268","478","13915984","193045","0"
"GameData\BLDA\CharFace\CFID_7\CharID_151","25","453404","41859","0"
"GameData\BLDA\CharFace\CFID_7\CharID_5","55","766768","68428","0"
"GameData\BLDA\CharFace\CFID_8\CharID_115-165","125","3290726","53833","0"
"GameData\BLDA\CharFace\CFID_9\CharID_84-171","58","1829082","73820","0"
"GameData\BLDA\CharFace\CH0058","14","522114","50717","0"
"GameData\BLDA\CharFace\CH0060","14","532076","52850","0"
"GameData\BLDA\CharFace\CH0063","14","369204","38126","0"
"GameData\BLDA\CharFace\CH0064","13","405966","40498","0"
